id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
337766,RU-0529,heliport,Goryachiy Plyazh Heliport,43.999144,145.791761,,AS,RU,RU-SAK,Yuzhno-Kurilsk,no,,,,,,UYUN
337767,RU-0530,heliport,Tanfiliev Heliport,43.443772,145.927682,,EU,RU,RU-SAK,Yuzhno-Kurilsk,no,,,,,,
337768,RU-0531,heliport,Anuchina Heliport,43.369429,146.001622,,EU,RU,RU-SAK,Yuzhno-Kurilsk,no,,,,,,
337769,RU-0532,heliport,Malokurilskoye Heliport,43.86641,146.82758,,EU,RU,RU-SAK,Malokurilskoye,no,,,,,,
337770,RU-0533,heliport,Krabozavodskoye Heliport,43.8311,146.7592,33.0,AS,RU,RU-SAK,Krabozavodskoye,no,,,,,,
337773,RU-0534,heliport,Golovnino Heliport,43.738081,145.515891,23.0,EU,RU,RU-SAK,Golovnino,no,,,,,,
337875,RU-0535,heliport,Old Vladivostok Airfield Heliport,43.21047,131.94238,,EU,RU,RU-PRI,Vladivostok,no,,,,,,
337876,RU-0536,closed,Old Vladivostok Airfield,43.207285,131.938692,,EU,RU,RU-PRI,Vladivostok,no,,,,,,
337877,RU-0537,heliport,Ozyornye Klyuchi (Lake Springs) Airfield,43.36795,132.1448,,AS,RU,RU-PRI,Artyom,no,,,,,,
337878,RU-0538,small_airport,Nikolayevka Air Base,43.08586,133.19061,180.0,AS,RU,RU-PRI,Nikolayevka,no,,,,,,
337879,RU-0539,small_airport,Baranovskiy Airfield,43.751678,132.007553,147.0,EU,RU,RU-PRI,Ussuriysk,no,,,,,,
337881,RU-0540,small_airport,Sysoyevka Airfield,44.20964,133.36596,,EU,RU,RU-PRI,Sysoyevka,no,,,,,,
337882,RU-0541,closed,Sergeyevka Landing Strip,43.30879,133.34868,,EU,RU,RU-PRI,Yuzhnaya Sergeyevka,no,,,,,,
337883,RU-0542,closed,Varfolomeyevka Southwest Airfield,44.28045,133.41152,,EU,RU,RU-PRI,Varfolomeyevka,no,,,,,,
338091,RU-0543,small_airport,Tempa Airfield,75.76713,137.576637,3.0,EU,RU,RU-SA,Kotelny Island,no,,,,,,Темп
339634,RU-0544,heliport,Vilkovo Heliport,52.91767,158.50325,,EU,RU,RU-KAM,Vilkovo,no,,,,,,
